observableId	simulationConditionId	measurement	time	datasetId
observable_EGFRPtotal	C1	0.64	0	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	6.74	15	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	3.47	30	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	3.56	45	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	1.79	60	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	1	120	C1_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.64	0	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	30.9	15	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	23.3	30	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	15.6	45	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	12	60	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	8.73	120	C2_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.64	0	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	69.4	15	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	47.8	30	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	23.9	45	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	20.1	60	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	12.2	120	C3_observable_EGFRPtotal
observable_PLCgPtotal	C2	0.41	0	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	4.35	15	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	4.76	30	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	2.17	45	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	1.19	60	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	1.9	120	C2_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.41	0	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	9.48	15	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	5.31	30	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	3.9	45	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	3.16	60	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	2.34	120	C3_observable_PLCgPtotal
observable_ShPtotal	C3	0.73	0	C3_observable_ShPtotal
observable_ShPtotal	C3	28.4	15	C3_observable_ShPtotal
observable_ShPtotal	C3	24.5	30	C3_observable_ShPtotal
observable_ShPtotal	C3	25.6	45	C3_observable_ShPtotal
observable_ShPtotal	C3	28.2	60	C3_observable_ShPtotal
observable_ShPtotal	C3	27.9	120	C3_observable_ShPtotal
observable_Grb2Shctotal	C3	4.22	0	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	35.6	15	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	33.2	30	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	30	45	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	29.6	60	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	28.3	120	C3_observable_Grb2Shctotal
observable_Grb2EGFRtotal	C3	0.04	0	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	18.1	15	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	15.8	30	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	8.76	45	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	6.36	60	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	4.63	120	C3_observable_Grb2EGFRtotal
